,verb,count
0,go,118
1,come,65
2,do,43
3,get,36
5,have,25
6,know,17
7,find,15
10,see,12
12,make,10
13,eat,9
18,fall,8
19,look,8
23,break,6
24,run,6
26,hide,6
32,lose,4
34,catch,4
36,drive,3
39,give,3
40,tell,3
41,fly,3
43,say,3
47,stick,2
52,think,2
53,sit,2
58,hear,2
59,leave,2
64,swing,1
66,stand,1
67,throw,1
76,hold,1
77,lie,1
83,bring,1
85,forget,1
87,build,1
89,ride,1
