,verb,count
0,go,162
1,come,80
2,do,57
3,get,48
4,see,41
5,know,34
8,hide,18
9,make,17
12,look,15
17,have,10
18,say,10
19,hear,10
22,swim,9
23,find,9
24,fall,8
27,build,8
29,break,7
30,think,7
31,stick,6
32,lay,6
33,eat,6
38,tell,5
42,run,5
49,catch,4
51,sleep,4
55,sit,3
56,sing,3
57,leave,3
58,take,3
59,give,3
63,bear,3
65,sink,2
72,stand,2
81,drink,2
84,throw,1
103,feel,1
109,forget,1
115,awake,1
121,ride,1
