,verb,count
0,go,203
1,do,118
2,get,116
3,have,76
4,know,49
5,see,48
6,come,45
8,look,36
10,think,34
11,say,31
12,make,30
13,sleep,25
15,find,20
19,take,12
22,throw,11
24,tell,9
27,lose,7
29,run,7
32,drive,6
34,stand,6
36,hear,5
37,hide,5
40,fall,5
41,lie,5
44,break,5
46,wear,4
48,saw,4
51,give,4
53,eat,4
54,buy,4
60,wake,3
62,grow,3
65,be,3
69,sit,3
70,fly,3
71,hang,3
73,swim,2
77,stick,2
81,sew,2
85,sing,2
89,keep,2
93,leave,2
94,hold,2
96,drink,2
100,mean,2
105,wind,1
106,spill,1
111,catch,1
127,lay,1
136,meet,1
140,shake,1
141,sell,1
144,ring,1
149,dig,1
