converb,count,rank
go,241,13
get,44,24
do,42,171
look,38,4
,33,21
make,29,61
come,23,37
know,22,6
want,17,10
ooh,17,11
see,16,14
fall,14,65
happen,13,99
hide,11,112
put,9,136
find,8,208
break,8,86
sit,7,130
hurt,6,102
touch,6,26
have,6,85
number,6,27
play,5,106
let,5,33
fix,5,32
shut,5,30
eat,5,98
toy,4,39
share,4,124
open,4,165
take,4,36
read,4,154
sleep,4,35
climb,3,267
wobble,3,46
stick,3,167
dance,3,44
say,3,265
move,3,283
tidy,2,162
swim,2,54
press,2,56
roll,2,187
paint,2,59
think,2,239
throw,2,198
shop,2,50
min,2,60
aah,2,53
drink,2,51
love,2,199
bless,2,47
leave,2,52
cry,2,62
hold,2,49
carry,2,65
help,2,63
mind,1,123
bump,1,131
slide,1,124
smell,1,79
cut,1,114
sticker,1,111
buy,1,92
tire,1,86
build,1,84
sing,1,105
bounce,1,130
block,1,116
turn,1,67
wash,1,126
bite,1,89
wonder,1,90
finger,1,132
grey,1,97
fit,1,74
gonna,1,104
need,1,107
listen,1,121
like,1,109
lift,1,88
phone,1,85
pray,1,66
laugh,1,115
race,1,68
reach,1,119
ribbit,1,118
roar,1,71
hear,1,103
run,1,98
hand,1,82
scar,1,133
grow,1,95
miss,1,108
work,1,73
