converb,count,rank
go,286,80
do,208,91
come,161,387
get,116,309
see,82,240
have,79,265
know,58,215
think,57,161
put,41,205
look,40,370
make,39,557
read,38,340
gonna,33,15
hide,33,14
want,33,272
ooh,31,16
say,28,403
hear,23,243
find,18,464
play,17,82
thank,15,28
sleep,14,99
tire,14,105
sit,12,440
like,12,138
hurt,11,649
listen,11,172
eat,10,284
be,10,32
give,10,556
tidy,9,336
talk,9,143
take,9,326
dress,9,152
happen,9,487
saw,8,47
sing,8,190
mind,8,40
break,7,449
pull,7,258
open,7,333
wash,7,396
let,7,319
help,7,196
climb,6,526
clean,6,297
shop,6,59
call,6,270
stand,6,769
try,6,402
tell,6,534
touch,6,52
fall,6,242
swim,6,60
stay,6,54
build,5,294
drink,5,275
paint,5,516
wear,5,247
drop,5,306
count,5,239
excuse,4,80
blow,4,325
change,4,87
matter,4,88
run,4,256
need,4,338
cry,4,86
bless,4,76
rid,4,73
shut,4,289
stick,4,78
brush,4,615
stop,3,117
rain,3,98
worry,3,789
wrap,3,112
move,3,99
watch,3,103
mean,3,97
warm,3,113
ask,3,116
love,3,111
spin,3,118
turn,3,419
aah,3,100
feel,3,409
leave,3,92
fly,3,399
lay,3,408
fix,3,107
draw,3,104
finish,3,335
fell,3,115
lie,2,145
forget,2,136
float,2,159
scar,2,123
sink,2,160
splash,2,157
smash,2,135
reach,2,128
excite,2,142
dry,2,131
swing,2,147
dig,2,150
throw,2,167
tickle,2,169
bring,2,419
grow,2,506
lift,2,521
laugh,2,121
lick,2,154
imagine,2,171
pick,2,470
ping,2,126
jump,2,129
join,2,140
moo,2,170
depend,1,267
learn,1,197
die,1,218
mess,1,211
dirty,1,256
dance,1,245
cut,1,257
cover,1,183
trumpet,1,212
concern,1,268
close,1,274
drag,1,198
match,1,195
push,1,243
miss,1,252
use,1,281
wait,1,244
wake,1,214
carry,1,180
buy,1,221
burn,1,178
water,1,185
borrow,1,188
wet,1,227
whisper,1,255
wonder,1,193
black,1,233
begin,1,203
undress,1,226
mix,1,204
drip,1,216
stir,1,182
hand,1,177
hoot,1,275
pretend,1,223
remember,1,269
point,1,240
rinse,1,239
follow,1,189
sauce,1,181
hope,1,247
flap,1,262
send,1,194
set,1,199
paste,1,207
fit,1,191
pardon,1,241
keep,1,264
smile,1,202
sneeze,1,250
sort,1,259
sound,1,208
feed,1,234
land,1,210
sprinkle,1,283
squeak,1,215
eye,1,265
start,1,220
hang,1,231
yawn,1,273
