converb,count,rank
go,162,112
come,80,122
do,57,136
get,48,168
see,41,3
know,34,5
happen,21,172
want,20,11
hide,18,70
make,17,231
,17,57
ooh,16,15
look,15,100
cry,15,16
listen,12,19
put,11,134
climb,11,434
have,10,153
say,10,327
hear,10,21
pin,9,26
open,9,25
swim,9,27
find,9,104
fall,8,151
ping,8,137
mind,8,28
build,8,198
reach,7,34
break,7,119
think,7,31
stick,6,40
lay,6,41
eat,6,146
block,6,213
hurt,6,165
rid,6,38
bless,5,50
tell,5,156
touch,5,45
woof,5,43
read,5,155
run,5,258
like,5,46
play,5,183
clean,4,56
shut,4,172
tire,4,54
laugh,4,51
catch,4,161
drop,4,52
sleep,4,192
smash,3,200
rain,3,195
stay,3,59
sit,3,67
sing,3,61
leave,3,238
take,3,64
give,3,63
gonna,3,60
fix,3,262
tidy,3,66
bear,3,243
talk,2,77
sink,2,275
float,2,84
channel,2,99
fit,2,91
patch,2,73
park,2,96
dance,2,94
stand,2,100
push,2,92
change,2,289
need,2,69
close,2,90
mess,2,80
hug,2,86
color,2,81
jump,2,74
drink,2,256
eye,2,97
scar,2,70
throw,1,127
thank,1,134
sun,1,141
splash,1,136
wipe,1,148
snore,1,132
try,1,111
towel,1,147
spy,1,180
toy,1,178
worry,1,170
watch,1,169
stop,1,158
wait,1,108
stir,1,106
love,1,181
shop,1,120
chew,1,155
fell,1,159
feel,1,131
fee,1,139
dress,1,163
count,1,149
cough,1,164
cheer,1,154
forget,1,124
carry,1,152
call,1,168
brush,1,183
bob,1,109
baby,1,146
awake,1,162
finish,1,140
hand,1,101
row,1,177
paint,1,125
roar,1,173
ride,1,115
pour,1,156
pooed,1,143
plant,1,107
pick,1,103
ouch,1,171
key,1,179
miss,1,176
aah,1,133
lift,1,157
let,1,123
land,1,142
kiss,1,175
yawn,1,182
