converb,count,rank
go,118,76
come,65,46
do,43,169
get,36,48
want,28,4
have,25,124
know,17,10
find,15,53
like,14,11
ooh,13,12
see,12,13
touch,11,14
make,10,132
eat,9,175
pin,9,19
open,9,17
rid,9,18
hurt,8,223
fall,8,93
look,8,20
ping,8,117
put,8,126
laugh,6,28
break,6,130
run,6,217
mind,6,29
hide,6,136
play,5,151
woof,5,33
carry,5,31
miss,4,42
finish,4,169
lose,4,39
wash,4,153
catch,4,140
block,3,50
drive,3,53
listen,3,49
let,3,44
give,3,178
tell,3,51
fly,3,157
fold,3,52
say,3,202
need,2,66
rain,2,62
reach,2,71
stick,2,70
scar,2,67
climb,2,213
patch,2,69
stay,2,72
think,2,65
sit,2,201
jump,2,215
gonna,2,58
hand,2,64
happen,2,73
hear,2,54
leave,2,214
drop,2,228
flap,2,74
wipe,1,80
stir,1,94
swing,1,123
try,1,101
stand,1,115
throw,1,127
watch,1,131
bang,1,83
tire,1,107
wait,1,97
use,1,85
plant,1,96
bob,1,100
curl,1,110
hold,1,113
lie,1,125
aah,1,79
disappear,1,129
mess,1,112
dance,1,111
cry,1,86
bring,1,121
pick,1,91
forget,1,120
pot,1,118
build,1,87
brush,1,81
ride,1,106
,1,128
