,verb,count
0,go,241
1,get,44
2,do,42
3,look,38
5,make,29
6,come,23
7,know,22
10,see,16
11,fall,14
13,hide,11
15,find,8
16,break,8
17,sit,7
20,have,6
26,eat,5
30,take,4
32,sleep,4
35,stick,3
37,say,3
40,swim,2
44,think,2
45,throw,2
49,drink,2
52,leave,2
54,hold,2
59,slide,1
63,buy,1
65,build,1
66,sing,1
71,bite,1
88,hear,1
89,run,1
92,grow,1
