,verb,count
0,go,153
1,get,57
2,make,42
3,know,24
4,do,21
6,look,17
7,sleep,14
9,come,13
10,have,12
12,take,8
14,see,7
15,find,7
18,eat,5
20,wake,5
22,say,5
23,stick,4
24,fall,4
28,catch,4
29,hide,3
31,break,3
35,throw,3
36,give,3
37,fly,3
38,tell,3
39,lose,3
41,run,2
44,think,2
50,hang,2
53,leave,2
58,dig,1
61,drink,1
69,stand,1
70,drive,1
71,spin,1
72,spill,1
74,grow,1
76,hear,1
77,hold,1
