,converb,count,rank
0,read,11,1
1,put,10,2
2,get,8,3
3,make,6,4
4,hold,6,5
5,do,6,6
6,set,5,7
7,buy,5,8
8,see,5,9
10,bite,4,10
11,give,4,11
16,go,2,12
17,find,2,13
18,hide,2,14
19,eat,2,15
23,bring,2,16
24,say,1,17
27,sit,1,18
29,take,1,19
37,hurt,1,20
38,bet,1,21
39,have,1,22
40,fall,1,23
