,verb,count
0,go,156
1,do,102
2,have,81
3,come,73
4,get,72
5,know,40
6,eat,37
7,sit,35
9,see,29
13,make,19
14,think,17
17,look,16
19,say,14
21,find,13
22,take,12
26,run,7
27,be,7
29,fall,6
31,leave,5
32,lose,5
33,hear,5
35,break,5
50,give,4
53,buy,3
59,stick,3
60,saw,3
63,hide,3
64,throw,3
67,show,2
77,lie,2
78,keep,2
79,tell,2
83,bring,2
84,build,2
86,sleep,1
87,spill,1
89,stand,1
93,sting,1
95,sing,1
102,bite,1
105,burn,1
116,shake,1
126,ring,1
