converb,count,rank
go,65,61
do,60,169
come,48,7
see,22,80
have,21,63
hide,14,131
get,13,153
know,10,10
say,10,107
think,8,12
want,8,107
pull,8,14
look,7,224
hurt,7,58
hear,7,17
put,6,19
thank,5,21
stay,5,130
cry,5,80
make,5,299
tire,5,104
shop,4,25
drink,4,24
break,4,197
let,3,119
watch,3,33
scar,3,154
read,3,31
play,2,155
bang,2,39
sit,2,198
sleep,2,113
throw,2,166
touch,2,38
walk,2,45
show,2,35
mean,2,37
crash,2,40
listen,2,203
find,2,183
lose,1,92
stamp,1,71
stand,1,70
dance,1,85
stop,1,54
swim,1,95
take,1,113
tell,1,83
charge,1,64
catch,1,63
tidy,1,88
carry,1,98
call,1,79
box,1,87
bless,1,55
bet,1,50
smile,1,68
finish,1,66
be,1,60
sing,1,59
mind,1,81
miss,1,86
ooh,1,67
like,1,109
lie,1,53
race,1,69
knock,1,111
roll,1,112
run,1,72
kick,1,62
hope,1,110
help,1,75
happen,1,57
frighten,1,106
shut,1,80
worry,1,104
