,verb,count
0,go,220
1,do,176
2,get,84
3,come,71
4,have,55
5,know,51
7,say,30
9,look,28
10,think,28
11,make,28
12,see,22
14,hide,14
15,tell,14
16,find,12
21,sleep,10
23,eat,9
25,take,9
26,hear,9
30,be,9
31,sit,9
34,grow,7
35,give,7
38,leave,6
39,fall,6
41,swim,6
45,break,5
51,stand,4
53,build,4
55,show,4
57,throw,4
61,sing,3
64,keep,3
65,sell,3
66,hold,3
68,stick,3
71,shake,2
79,lose,2
80,drink,2
88,catch,2
89,bring,2
91,mean,2
93,meet,2
98,wear,1
101,swing,1
106,teach,1
109,begin,1
119,pay,1
129,run,1
132,saw,1
134,lie,1
140,feel,1
141,slide,1
143,dream,1
